"No.","Time","Source","Destination","Protocol","Length","Source BD_ADDR","BD_ADDR","Data","Info"
"1189","9.916000","controller","host","HCI_EVT","59","","Apple_e5:84:66","071901242075aab71100045e465ac6f0d4885847753b2de4b0ab2c","Rcvd LE Meta (LE Extended Advertising Report)"
"1229","10.531000","controller","host","HCI_EVT","59","","Apple_e5:84:66","071901242015aab73100047d2df72bd5a172236fc124541e7bea2d","Rcvd LE Meta (LE Extended Advertising Report)"
"1253","10.831000","controller","host","HCI_EVT","59","","Apple_e5:84:66","071901242075aab7110004323c2ca368d6750faa7737ac5e2ea047","Rcvd LE Meta (LE Extended Advertising Report)"
"1319","11.757000","controller","host","HCI_EVT","59","","Apple_e5:84:66","071901242075aab7110004323c2ca368d6750faa7737ac5e2ea047","Rcvd LE Meta (LE Extended Advertising Report)"
"1359","12.311000","controller","host","HCI_EVT","59","","Apple_e5:84:66","071901242075aab7110004323c2ca368d6750faa7737ac5e2ea047","Rcvd LE Meta (LE Extended Advertising Report)"
"1553","14.732000","controller","host","HCI_EVT","59","","Apple_e5:84:66","071901242075aab7110004323c2ca368d6750faa7737ac5e2ea047","Rcvd LE Meta (LE Extended Advertising Report)"
"1604","15.358000","controller","host","HCI_EVT","59","","Apple_e5:84:66","071901242015aab73100047d2df72bd5a172236fc124541e7bea2d","Rcvd LE Meta (LE Extended Advertising Report)"
"1740","17.407000","controller","host","HCI_EVT","59","","Apple_e5:84:66","071901242015aab73100047d2df72bd5a172236fc124541e7bea2d","Rcvd LE Meta (LE Extended Advertising Report)"
"1809","18.332000","controller","host","HCI_EVT","59","","Apple_e5:84:66","071901242015aab73100047d2df72bd5a172236fc124541e7bea2d","Rcvd LE Meta (LE Extended Advertising Report)"
"1913","19.582000","controller","host","HCI_EVT","59","","Apple_e5:84:66","071901242075aab7110004323c2ca368d6750faa7737ac5e2ea047","Rcvd LE Meta (LE Extended Advertising Report)"
"2020","21.301000","controller","host","HCI_EVT","59","","Apple_e5:84:66","071901242015aab73100047d2df72bd5a172236fc124541e7bea2d","Rcvd LE Meta (LE Extended Advertising Report)"
