utcTimeMillis,TimeNanos,LeapSecond,TimeUncertaintyNanos,FullBiasNanos,BiasNanos,BiasUncertaintyNanos,DriftNanosPerSecond,DriftUncertaintyNanosPerSecond,HardwareClockDiscontinuityCount,Svid,TimeOffsetNanos,State,ReceivedSvTimeNanos,ReceivedSvTimeUncertaintyNanos,Cn0DbHz,PseudorangeRateMetersPerSecond,PseudorangeRateUncertaintyMetersPerSecond,AccumulatedDeltaRangeState,AccumulatedDeltaRangeMeters,AccumulatedDeltaRangeUncertaintyMeters,CarrierFrequencyHz,CarrierCycles,CarrierPhase,CarrierPhaseUncertainty,MultipathIndicator,SnrInDb,ConstellationType,AgcDb,BasebandCn0DbHz,FullInterSignalBiasNanos,FullInterSignalBiasUncertaintyNanos,SatelliteInterSignalBiasNanos,SatelliteInterSignalBiasUncertaintyNanos,CodeType,ChipsetElapsedRealtimeNanos
1633966603435,234701915000000,18,,-1317767119520671340,0.16030311584472656,50.25378777645528,-6.636105530775126,20.08830130147119,162,5,0.0,16399,142607302974041,15,30.8,3.879197835922241,6.395599842071533,16,0.0,0.0,1.56109798E9,,,,0,,5,4.0,24.8,,,,,,
1633966603435,234701915000000,18,,-1317767119520671340,0.16030311584472656,50.25378777645528,-6.636105530775126,20.08830130147119,162,10,0.0,16399,142607305596337,31,23.3,-98.18019104003906,0.5839999914169312,16,0.0,0.0,1.56109798E9,,,,0,,5,4.0,17.3,,,,,,
1633966603435,234701915000000,18,,-1317767119520671340,0.16030311584472656,50.25378777645528,-6.636105530775126,20.08830130147119,162,19,0.0,16399,142607364473774,35,22.0,-92.74547576904297,0.6225000023841858,16,0.0,0.0,1.56109798E9,,,,0,,5,4.0,16.0,,,,,,
1633966603435,234701915000000,18,,-1317767119520671340,0.16030311584472656,50.25378777645528,-6.636105530775126,20.08830130147119,162,20,0.0,16399,142607357932263,16,29.1,439.5848693847656,0.05220000445842743,16,0.0,0.0,1.56109798E9,,,,0,,5,4.0,23.1,,,,,,
1633966603435,234701915000000,18,,-1317767119520671340,0.16030311584472656,50.25378777645528,-6.636105530775126,20.08830130147119,162,22,0.0,16399,142607352751981,211,15.1,-548.03271484375,7.8445000648498535,16,0.0,0.0,1.56109798E9,,,,0,,5,4.0,9.1,,,,,,
1633966603435,234701915000000,18,,-1317767119520671340,0.16030311584472656,50.25378777645528,-6.636105530775126,20.08830130147119,162,7,0.0,89103,142621355572506,40,21.2,194.76556396484375,0.6889999508857727,16,0.0,0.0,1.57542003E9,,,,0,,6,3.24,15.2,,,,,,
1633966603435,234701915000000,18,,-1317767119520671340,0.16030311584472656,50.25378777645528,-6.636105530775126,20.08830130147119,162,27,0.0,89103,142621352130119,12,32.1,-482.54412841796875,0.0478999987244606,16,0.0,0.0,1.57542003E9,,,,0,,6,3.24,26.1,,,,,,
1633966604435,234702915000000,18,,-1317767119520671351,0.40166473388671875,42.522780859144405,-7.648400377018677,14.55164203690437,162,14,0.0,49359,67004370319649,46,20.3,-359.5399169921875,1.131500005722046,16,0.0,0.0,1.59806246E9,,,,0,,3,-1.1,17.3,,,,,,
1633966604435,234702915000000,18,,-1317767119520671351,0.40166473388671875,42.522780859144405,-7.648400377018677,14.55164203690437,162,2,0.0,81935,142622352800393,9,35.3,527.445068359375,0.03960000351071358,16,0.0,0.0,1.57542003E9,,,,0,,1,2.72,31.799999999999997,,,,,,
1633966604435,234702915000000,18,,-1317767119520671351,0.40166473388671875,42.522780859144405,-7.648400377018677,14.55164203690437,162,7,0.0,81935,142622362175047,35,22.7,431.4433288574219,0.7294999957084656,16,0.0,0.0,1.57542003E9,,,,0,,1,2.72,19.2,,,,,,
1633966604435,234702915000000,18,,-1317767119520671351,0.40166473388671875,42.522780859144405,-7.648400377018677,14.55164203690437,162,9,0.0,81935,142622354553524,27,24.5,581.5279541015625,0.6375000476837158,16,0.0,0.0,1.57542003E9,,,,0,,1,2.72,21.0,,,,,,
1633966604435,234702915000000,18,,-1317767119520671351,0.40166473388671875,42.522780859144405,-7.648400377018677,14.55164203690437,162,13,0.0,81935,142622363287978,13,31.9,-437.08746337890625,0.02970000170171261,16,0.0,0.0,1.57542003E9,,,,0,,1,2.72,28.4,,,,,,
1633966604435,234702915000000,18,,-1317767119520671351,0.40166473388671875,42.522780859144405,-7.648400377018677,14.55164203690437,162,14,0.0,81935,142622360625420,19,27.3,-559.8080444335938,0.04129999876022339,16,0.0,0.0,1.57542003E9,,,,0,,1,2.72,23.8,,,,,,
1633966604435,234702915000000,18,,-1317767119520671351,0.40166473388671875,42.522780859144405,-7.648400377018677,14.55164203690437,162,15,0.0,81935,142622355101173,21,26.9,-637.7164916992188,0.13369999825954437,16,0.0,0.0,1.57542003E9,,,,0,,1,2.72,23.4,,,,,,
1633966604435,234702915000000,18,,-1317767119520671351,0.40166473388671875,42.522780859144405,-7.648400377018677,14.55164203690437,162,20,0.0,81935,142622367405945,53,19.8,213.63319396972656,0.9269999861717224,16,0.0,0.0,1.57542003E9,,,,0,,1,2.72,16.3,,,,,,
1633966604435,234702915000000,18,,-1317767119520671351,0.40166473388671875,42.522780859144405,-7.648400377018677,14.55164203690437,162,30,0.0,81935,142622367140678,53,19.6,115.74612426757812,0.9269999861717224,16,0.0,0.0,1.57542003E9,,,,0,,1,2.72,16.1,,,,,,
1633966604435,234702915000000,18,,-1317767119520671351,0.40166473388671875,42.522780859144405,-7.648400377018677,14.55164203690437,162,5,0.0,16399,142608302974031,18,28.9,8.08486270904541,7.706500053405762,16,0.0,0.0,1.56109798E9,,,,0,,5,3.35,22.9,,,,,,
1633966604435,234702915000000,18,,-1317767119520671351,0.40166473388671875,42.522780859144405,-7.648400377018677,14.55164203690437,162,7,0.0,16399,142608304074916,83,16.3,-11.195901870727539,1.752500057220459,16,0.0,0.0,1.56109798E9,,,,0,,5,3.35,10.3,,,,,,
1633966604435,234702915000000,18,,-1317767119520671351,0.40166473388671875,42.522780859144405,-7.648400377018677,14.55164203690437,162,10,0.0,16399,142608305596624,31,23.0,-93.32159423828125,0.5839999914169312,16,0.0,0.0,1.56109798E9,,,,0,,5,3.35,17.0,,,,,,
1633966604435,234702915000000,18,,-1317767119520671351,0.40166473388671875,42.522780859144405,-7.648400377018677,14.55164203690437,162,19,0.0,16399,142608364474123,35,22.3,-88.9046859741211,0.6225000023841858,16,0.0,0.0,1.56109798E9,,,,0,,5,3.35,16.3,,,,,,
1633966604435,234702915000000,18,,-1317767119520671351,0.40166473388671875,42.522780859144405,-7.648400377018677,14.55164203690437,162,20,0.0,16399,142608357930789,21,26.6,443.6553039550781,0.13670000433921814,16,0.0,0.0,1.56109798E9,,,,0,,5,3.35,20.6,,,,,,
